Entity,Type,Superclass(es),
owl:Thing,Class,,
Brochure,Class,dissemination,
Certification,Class,prototype,
Implementation,Class,technology,
Incubator,Class,Park,
Internet,Class,dissemination,
Newspapers,Class,dissemination,
Office,Class,diffusion_capabiliies,
Park,Class,diffusion_capabiliies,
Science,Class,Park,
Spin-off,Class,diffusion_capabiliies,
Stakeholder,Class,partners,
Technological,Class,diffusion_capabiliies,
Technology,Class,Park,
Transfer,Class,diffusion_capabiliies,
adoption,Class,technology,
agencies,Class,diffusion_capabiliies,
alliance,Class,networks,
article,Class,dissemination,
associations,Class,networks,
benefits,Class,viability,
booklets,Class,dissemination,
business,Class,networks,
buyer,Class,marketing,
channels,Class,dissemination,
commercial,Class,market,
communication,Class,dissemination,
connections,Class,networks,
contracts,Class,Technological,
diffusion_capabiliies,Class,owl:Thing,
dissemination,Class,diffusion_capabiliies,
enterprise,Class,networks,
exploitation,Class,commercial,
farmer-to-farmer,Class,dissemination,
finalize,Class,product,
information,Class,dissemination,
linkages,Class,networks,
market,Class,Technological,
marketing,Class,market,
media,Class,dissemination,
models,Class,prototype,
networks,Class,diffusion_capabiliies,
ownership,Class,contracts,
paper,Class,dissemination,
partners,Class,Technological,
platform.,Class,Internet,
pricing,Class,marketing,
product,Class,prototype,
prototype,Class,market,
publications,Class,dissemination,
relations,Class,networks,
reports,Class,dissemination,
results,Class,dissemination,
shared,Class,networks,
start-ups,Class,diffusion_capabiliies,
strategies,Class,commercial,
supplier,Class,marketing,
technology,Class,Technological,
tracking,Class,Technological,
universities,Class,Technological,
users,Class,marketing,
validation,Class,technology,
viability,Class,commercial,
website,Class,dissemination,
/magazines,Class,dissemination,


Export of entity selection
