Topic_0,Topic_1,Topic_2,Topic_3
center,center,center,production
corpoica,industrial,cane,process
university,agro,valle,biomass
crop,economic,industrial,cid
el,national,agro,et
engine,agriculture,national,al
tree,country,tree,material
cane,cane,engine,lignin
national,international,cauca,bioethanol
region,key,region,ethanol
country,cenicaña,agriculture,temperature
biopacific,fruit,economic,concentration
valle,cauca,key,pretreatment
agro,tropical,drive,used
continue,university,dynamic,acid
apparatus,valle,tropical,energy
institute,park,ica,use
palmira,institute,country,lignocellulosic
cenicaña,crop,continue,treatment
drive,ica,crop,chemical
cauca,palmira,fruit,condition
international,drive,cenicaña,nitrogen
key,region,park,colombia
progressing,engine,progressing,obtained
ica,dynamic,biopacific,hydrolysis
agriculture,progressing,palmira,high
park,apparatus,apparatus,microorganism
industrial,continue,institute,product
economic,biopacific,university,residue
dynamic,corpoica,el,cellulose
tropical,tree,corpoica,fermentation
fruit,el,international,stage
process,cid,production,type
production,progress,process,bagasse
biomass,dyna,biomass,phase
temperature,continues,et,hydrogen
cid,tura,al,figure
material,in,bioethanol,waste
concentration,úcar,ethanol,cane
al,corpoic,microorganism,time
bioethanol,biopacíf,temperature,experimental
nitrogen,mica,nitrogen,variable
chemical,fruity,concentration,reactor
energy,ico,acid,result
lignin,inhibition,use,water
ethanol,model,used,enzyme
condition,production,material,carried
et,hydrolysis,lignin,value
used,substrate,lignocellulosic,source
high,et,phase,technology
vinasse,residue,reactor,removal
treatment,kinetic,condition,°c
asocaña,al,treatment,present
acid,process,pretreatment,different
use,enzyme,product,table
obtained,lignin,energy,environmental
experimental,material,fermentation,substrate
acrocom,pretreatment,obtained,peroxide
lignocellulosic,biomass,chemical,cost
hydrogen,constant,colombia,vinasse
colombia,ethanol,culture,generation
phase,used,stage,review
manuelita,obtained,variable,culture
station,concentration,high,model
waste,temperature,carried,enzymatic
sucromeles,competitive,result,organic
pretreatment,enzymatic,water,glucose
riceingenio,bioethanol,hydrolysis,biofuels
reactor,lignocellulosic,type,growth
norte,cellulose,value,reaction
substrate,figure,cellulose,using
prados,sugarcane,time,due
type,colombia,different,hemicellulose
value,bagasse,source,vol
day,chemical,experimental,sugarcane
organic,energy,technology,engineering
service,experimental,bagasse,technique
time,ratio,growth,liquid
blanquita,condition,enzyme,second
water,time,figure,bacteria
present,ph,°c,design
microorganism,use,review,according
clean,treatment,generation,alternative
figure,using,bacteria,test
stage,glucose,cost,two
liquid,table,waste,day
product,different,removal,biological
residue,reaction,hydrogen,study
fermentation,initial,glucose,co
table,acid,table,method
environmental,peroxide,residue,however
bagasse,hydrogen,environmental,year
variable,product,enzymatic,raw
bacteria,result,medium,plant
hydrolysis,present,synthesis,industrial
carried,km,oxygen,medium
biological,removal,co,percentage
due,carried,second,general
cellulose,stage,vol,university
cost,high,technique,level
