Topic_0,Topic_1,Topic_2
process,cid,colombia
energy,bagasse,process
production,ethanol,university
fuel,wet,production
use,produced,manuelita
resource,electricity,ingenuity
ethanol,cellulose,bioethanol
development,volume,corn
country,production,water
coal,lignin,ethanol
biomass,would,used
synthesis,engineering,fermentation
laboratory,et,cane
product,al,sugar
technology,per,material
best,ton,obtained
work,biogas,plant
different,obtained,carried
lignin,co,model
knowledge,energy,biomass
chemical,mj,use
study,process,table
state,number,residue
obtain,technology,hydrolysis
technological,sugar,concentration
alcohol,work,consumption
coke,july,method
leader,combustion,alcohol
fraction,considering,soil
gasoline,sale,one
engineering,cujae,analysis
international,fuel,acid
given,chemical,fuel
oil,hydrolysis,based
area,one,distillation
material,electrical,nitrogen
contributing,zumalacárregui,environmental
level,generation,waste
government,produce,variable
sustainable,burning,obtaining
art,hemicelluloses,source
synthetic,cárdenas,lignocellulosic
mixture,used,growth
professional,lignocellulosic,high
molecular,issn,et
figure,nm,raw
liquid,faculty,temperature
current,quintero,amount
fermentation,september,study
carried,xvi,way
obtaining,unam,two
catalyst,fi,time
reaction,technical,medium
gas,kumar,due
within,use,al
solvent,obtaining,project
method,analysis,type
sector,cane,year
natural,according,value
polymer,considered,problem
solid,hemicellulose,using
highest,burned,according
advanced,antonio,energy
value,distillation,figure
carbon,april,day
degradation,sugarcane,different
training,generated,number
characterization,producing,spp
weight,professor,greater
train,obtain,co
productive,higher,product
relation,result,result
ca,equation,bacteria
basic,compared,azotobacter
capable,emission,cost
scientific,science,economic
institute,sánchez,produced
generating,lourdes,since
teaching,biomass,level
investigated,material,yeast
center,using,development
continue,therefore,per
excellent,transformation,biofuels
entity,conversion,evaluation
plan,source,strategy
olefin,dry,stage
​​energy,montoya,case
foreign,cuba,three
oligomerization,beatriz,percentage
bitumen,lombardi,generation
carbonization,pct,total
adapting,osney,azospirillum
interlocutor,geraldo,treatment
teacher,margarita,cultivation
mac,value,agricultural
condition,reaction,simulation
used,stage,alternative
gasification,glucose,microorganism
contribute,cardona,activity
using,calculated,work
