,Topic_0,Topic_1
0,climate,plant
1,project,technology
2,model,farmer
3,program,food
4,change,production
5,region,disease
6,management,agricultural
7,soil,product
8,agricultural,international
9,system,variety
10,based,system
11,work,training
12,international,country
13,africa,farming
14,new,analysis
15,approach,service
16,use,rice
17,center,line
18,country,study
19,water,science
20,impact,number
21,analysis,result
22,farmer,crop
23,yield,management
24,area,available
25,bean,water
26,cassava,pest
27,production,bean
28,level,developed
29,technology,facility
30,food,information
31,used,laboratory
32,effort,one
33,information,soil
34,need,new
35,colombia,use
36,university,environment
37,regional,farm
38,panel,tropical
39,different,future
40,study,access
41,high,resource
42,one,area
43,national,high
44,policy,mobile
45,rural,scientist
46,partner,world
47,scientist,plan
48,sustainable,change
49,using,fish
50,tool,programme
51,tropical,interest
52,effect,two
53,across,centre
54,issue,colombia
55,challenge,image
56,monitoring,level
57,land,improvement
58,year,climate
59,global,biology
60,well,global
61,group,america
62,result,innovation
63,network,africa
64,resource,population
65,line,library
66,key,control
67,related,yield
68,environment,wheat
69,environmental,drought
70,focus,technique
71,provide,region
72,knowledge,process
73,decision,tool
74,drought,latin
75,time,biotechnology
76,developing,based
77,investment,adoption
78,two,genetic
79,maize,station
80,ecosystem,staff
81,capacity,seed
82,america,breeding
83,service,collection
84,market,nutrition
85,innovation,different
86,rice,using
87,three,processing
88,platform,fruit
89,institute,institute
90,method,center
91,livestock,material
92,researcher,equipment
93,science,productivity
94,plant,biodiversity
95,significant,computer
96,asia,specie
97,big,environmental
98,review,animal
99,breeding,approach
